field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14
8MQ2M2022BB,"RECTANGULAR MODULE, RCPT, 20POS, 4ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M2022BB=Order Code:3874351,Product Range:MQuick Series=No. of Contacts:20Contacts=No. of Rows:4 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:-,,,,£22.30,1+:£22.30=5+:£20.90=10+:£19.52=25+:£18.68=50+:£18.07=100+:£17.47=250+:£16.51,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ8022-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M01L28PN,"RECTANGULAR MODULE, PLUG, 1POS, 1ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M01L28PN=Order Code:3874062,Product Range:MQuick Series=No. of Contacts:1Contacts=No. of Rows:1 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Crimp=Contact Material:Copper Alloy,,,,£193.81,1+:£193.81=5+:£190.01=10+:£186.21=25+:£181.15=50+:£168.48=100+:£159.61,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7752-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M0936SN,"RECTANGULAR MODULE, RCPT, 9POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M0936SN=Order Code:3874267,Product Range:MQuick Series=No. of Contacts:9Contacts=No. of Rows:3 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:Copper Alloy,,,,£67.73,1+:£67.73=5+:£66.41=10+:£65.08=25+:£63.31=50+:£58.89=100+:£55.78,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7940-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M9901RCE,"RECTANGULAR MODULE, PLUG, 11POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M9901RCE=Order Code:3874443,Product Range:MQuick Series=No. of Contacts:11Contacts=No. of Rows:3 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Through Hole=Contact Material:Copper Alloy,,,,£69.26,1+:£69.26=5+:£67.90=10+:£66.54=25+:£64.73=50+:£60.20=100+:£57.04,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ8099-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M9910AC,"RECTANGULAR MODULE, PLUG, 10POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M9910AC=Order Code:3874476,Product Range:MQuick Series=No. of Contacts:10Contacts=No. of Rows:3 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Crimp=Contact Material:-,,,,£28.11,1+:£28.11=100+:£24.44=500+:£21.64=1000+:£18.22=2500+:£15.78,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ8124-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M2022RBE,"RECTANGULAR MODULE, PLUG, 20POS, 4ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M2022RBE=Order Code:3874375,Product Range:MQuick Series=No. of Contacts:20Contacts=No. of Rows:4 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Through Hole=Contact Material:Copper Alloy,,,,£69.81,1+:£69.81=5+:£68.45=10+:£67.08=25+:£65.25=50+:£60.69=100+:£57.50,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ8041-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M9901BDE,"RECTANGULAR MODULE, RCPT, 11POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M9901BDE=Order Code:3874423,Product Range:MQuick Series=No. of Contacts:11Contacts=No. of Rows:3 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:-,,,,£67.26,1+:£67.26=5+:£64.19=10+:£62.76=25+:£61.10=50+:£57.07=100+:£54.00,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ8077-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M9910BN,"RECTANGULAR MODULE, RCPT, 10POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M9910BN=Order Code:3874491,Product Range:MQuick Series=No. of Contacts:10Contacts=No. of Rows:3 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:-,,,,£47.31,1+:£47.31=5+:£42.94=10+:£41.85=25+:£38.76=50+:£36.57=100+:£33.30=250+:£32.93,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ8142-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M9910PNE,"RECTANGULAR MODULE, PLUG, 10POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M9910PNE=Order Code:3874494,Product Range:MQuick Series=No. of Contacts:10Contacts=No. of Rows:3 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Crimp=Contact Material:Copper Alloy,,,,£52.94,1+:£52.94=5+:£51.91=10+:£50.87=25+:£49.49=50+:£46.02=100+:£43.60,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ8145-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M01L28BB,"RECTANGULAR MODULE, RCPT, 1POS, 1ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M01L28BB=Order Code:3874052,Product Range:MQuick Series=No. of Contacts:1Contacts=No. of Rows:1 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:-,,,,£56.21,1+:£56.21=5+:£51.02=10+:£49.73=25+:£46.05=50+:£43.45=100+:£39.56=250+:£39.13,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7746-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
